description,industry,level,size,line_code,value,Unit,footnotes
Total number of businesses,Administrative & support services,1,total,,1845,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Education & training,1,total,,1182,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Health care & social assistance,1,total,,2925,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Arts & recreation services,1,total,,567,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other services,1,total,,1383,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,total,0,total,,48990,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,total,0,6–19 employees,D0201.01,23751,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,total,0,20–49 employees,D0201.01,6435,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,total,0,50–99 employees,D0201.01,1809,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,total,0,100+ employees,D0201.01,1491,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Agriculture, forestry, & fishing",1,total,D0201.01,2313,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Agriculture,2,total,D0201.01,1590,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Commercial fishing,2,total,D0201.01,48,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Forestry & logging,2,total,D0201.01,129,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Agriculture, forestry, & fishing support services",2,total,D0201.01,546,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Mining,1,total,D0201.01,75,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Manufacturing,1,total,D0201.01,3849,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Food, beverage, & tobacco",2,total,D0201.01,855,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Textile, clothing, footwear, & leather",2,total,D0201.01,171,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Wood & paper product,2,total,D0201.01,369,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Printing, publishing, & recorded media",2,total,D0201.01,117,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Petroleum, coal, chemical, & associated product",2,total,D0201.01,303,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Non-metallic mineral product,2,total,D0201.01,150,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Metal product,2,total,D0201.01,744,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Transport and industrial machinery & equipment,2,total,D0201.01,702,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Other machinery & equipment,2,total,D0201.01,174,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Other manufacturing,2,total,D0201.01,264,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Electricity, gas, water, & waste services",1,total,D0201.01,159,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Construction,1,total,D0201.01,5310,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Wholesale trade,1,total,D0201.01,2274,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Machinery & equipment wholesaling,2,total,D0201.01,744,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Other wholesale trade,2,total,D0201.01,1527,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Retail trade,1,total,D0201.01,2991,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Accommodation & food services,1,total,D0201.01,3876,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Transport, postal, & warehousing",1,total,D0201.01,1074,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Information media & telecommunications,1,total,D0201.01,342,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Publishing,2,total,D0201.01,135,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Motion picture,2,total,D0201.01,105,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Telecommunications,2,total,D0201.01,102,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Financial & insurance services,1,total,D0201.01,564,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Finance,2,total,D0201.01,165,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Insurance,2,total,D0201.01,30,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Auxiliary,2,total,D0201.01,369,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Rental, hiring, & real estate services",1,total,D0201.01,693,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Professional, scientific, & technical services",1,total,D0201.01,4398,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Computer systems design,2,total,D0201.01,780,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Other professional scientific,2,total,D0201.01,3624,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Administrative & support services,1,total,D0201.01,1203,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Education & training,1,total,D0201.01,855,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Health care & social assistance,1,total,D0201.01,2229,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Arts & recreation services,1,total,D0201.01,339,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Other services,1,total,D0201.01,942,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,total,0,total,D0201.01,33489,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,total,0,6–19 employees,D0201.02,5028,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,total,0,20–49 employees,D0201.02,1152,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,total,0,50–99 employees,D0201.02,369,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,total,0,100+ employees,D0201.02,321,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Agriculture, forestry, & fishing",1,total,D0201.02,627,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Agriculture,2,total,D0201.02,330,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Commercial fishing,2,total,D0201.02,6,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Forestry & logging,2,total,D0201.02,69,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Agriculture, forestry, & fishing support services",2,total,D0201.02,225,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Mining,1,total,D0201.02,24,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Manufacturing,1,total,D0201.02,705,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Food, beverage, & tobacco",2,total,D0201.02,177,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Textile, clothing, footwear, & leather",2,total,D0201.02,33,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Wood & paper product,2,total,D0201.02,78,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Printing, publishing, & recorded media",2,total,D0201.02,51,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Petroleum, coal, chemical, & associated product",2,total,D0201.02,75,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Non-metallic mineral product,2,total,D0201.02,36,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Metal product,2,total,D0201.02,105,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Transport and industrial machinery & equipment,2,total,D0201.02,93,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Other machinery & equipment,2,total,D0201.02,9,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Other manufacturing,2,total,D0201.02,51,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Electricity, gas, water, & waste services",1,total,D0201.02,24,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Construction,1,total,D0201.02,777,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Wholesale trade,1,total,D0201.02,483,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Machinery & equipment wholesaling,2,total,D0201.02,105,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Other wholesale trade,2,total,D0201.02,378,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Retail trade,1,total,D0201.02,1155,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Accommodation & food services,1,total,D0201.02,1263,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Transport, postal, & warehousing",1,total,D0201.02,240,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Information media & telecommunications,1,total,D0201.02,48,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Publishing,2,total,D0201.02,24,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Motion picture,2,total,D0201.02,18,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Telecommunications,2,total,D0201.02,6,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Financial & insurance services,1,total,D0201.02,48,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Finance,2,total,D0201.02,18,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Insurance,2,total,D0201.02,6,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Auxiliary,2,total,D0201.02,24,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Rental, hiring, & real estate services",1,total,D0201.02,156,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Professional, scientific, & technical services",1,total,D0201.02,249,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Computer systems design,2,total,D0201.02,39,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Other professional scientific,2,total,D0201.02,210,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Administrative & support services,1,total,D0201.02,312,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Education & training,1,total,D0201.02,156,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Health care & social assistance,1,total,D0201.02,357,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Arts & recreation services,1,total,D0201.02,132,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Other services,1,total,D0201.02,108,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,total,0,total,D0201.02,6870,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,total,0,6–19 employees,D0201.03,1470,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,total,0,20–49 employees,D0201.03,261,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,total,0,50–99 employees,D0201.03,93,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,total,0,100+ employees,D0201.03,42,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,"Agriculture, forestry, & fishing",1,total,D0201.03,198,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Agriculture,2,total,D0201.03,120,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Commercial fishing,2,total,D0201.03,0,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Forestry & logging,2,total,D0201.03,24,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,"Agriculture, forestry, & fishing support services",2,total,D0201.03,54,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Mining,1,total,D0201.03,15,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Manufacturing,1,total,D0201.03,138,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,"Food, beverage, & tobacco",2,total,D0201.03,30,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,"Textile, clothing, footwear, & leather",2,total,D0201.03,9,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Wood & paper product,2,total,D0201.03,30,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,"Printing, publishing, & recorded media",2,total,D0201.03,3,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,"Petroleum, coal, chemical, & associated product",2,total,D0201.03,12,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Non-metallic mineral product,2,total,D0201.03,3,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Metal product,2,total,D0201.03,15,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Transport and industrial machinery & equipment,2,total,D0201.03,27,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Other machinery & equipment,2,total,D0201.03,6,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Other manufacturing,2,total,D0201.03,0,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,"Electricity, gas, water, & waste services",1,total,D0201.03,6,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Construction,1,total,D0201.03,384,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Wholesale trade,1,total,D0201.03,135,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Machinery & equipment wholesaling,2,total,D0201.03,39,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Other wholesale trade,2,total,D0201.03,96,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Retail trade,1,total,D0201.03,144,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Accommodation & food services,1,total,D0201.03,279,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,"Transport, postal, & warehousing",1,total,D0201.03,153,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Information media & telecommunications,1,total,D0201.03,9,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Publishing,2,total,D0201.03,0,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Motion picture,2,total,D0201.03,6,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Telecommunications,2,total,D0201.03,0,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Financial & insurance services,1,total,D0201.03,6,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Finance,2,total,D0201.03,3,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Insurance,2,total,D0201.03,0,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Auxiliary,2,total,D0201.03,3,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,"Rental, hiring, & real estate services",1,total,D0201.03,39,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,"Professional, scientific, & technical services",1,total,D0201.03,111,Number of businesses,1 and 2 and 3 and 6
